[17:45:40] [293/324] PFMR
[17:45:41] [294/324] RKCN
[17:45:42] [295/324] CFEA
[17:45:42] [296/324] SDBG
[17:45:43] [297/324] SNAR
[17:45:44] [298/324] YISI
[17:45:45] [299/324] JCFF
[17:45:46] [300/324] VTRK
[17:45:47] [301/324] PCLZ
[17:45:48] [302/324] DIMY
[17:45:49] [303/324] BBTS
[17:45:49] [304/324] GATH
[17:45:50] [305/324] GTMN
[17:45:51] [306/324] VTMH
[17:45:52] [307/324] CCKP
[17:45:53] [308/324] GPKA
[17:45:53] [309/324] MHCL
[17:45:54] [310/324] ATCL
[17:45:55] [311/324] SBCK
[17:45:56] [312/324] AMMR
[17:45:57] [313/324] MADC
[17:45:58] [314/324] TMMA
[17:45:58] [315/324] CACC
[17:45:59] [316/324] CHAL
[17:46:00] [317/324] DURG
[17:46:01] [318/324] GMKU
[17:46:02] [319/324] GECA
[17:46:03] [320/324] KYRR
[17:46:04] [321/324] KSDE
[17:46:05] [322/324] LMCI
[17:46:06] [323/324] NKCP
[17:46:08] [324/324] BGTC
[17:46:09] 🧹 Deduping shows
[17:46:09] ✅ DONE | Shows=2605 | Movies=75
