[18:28:22] 📍 Loaded 563 district venues
[18:28:22] 🚀 DISTRICT SCRAPER STARTED
[18:28:28] ⚠ 1092992 status 403
[18:28:28] ⚠ 31792 status 403
[18:28:28] ⚠ 52682 status 403
[18:28:28] ⚠ 1054736 status 403
[18:28:28] ⚠ 1024041 status 403
[18:28:28] ⚠ 25008 status 403
[18:28:28] ⚠ 3906 status 403
[18:28:28] ⚠ 27908 status 403
[18:28:28] ⚠ 5061 status 403
[18:28:28] ⚠ 1054730 status 403
[18:28:28] ⚠ 26294 status 403
[18:28:28] ⚠ 6121 status 403
[18:28:28] ⚠ 62907 status 403
[18:28:28] ⚠ 1042215 status 403
[18:28:28] ⚠ 38446 status 403
[18:28:28] ⚠ 1032344 status 403
[18:28:28] ⚠ 1009010 status 403
[18:28:28] ⚠ 1056839 status 403
[18:28:28] ⚠ 1009117 status 403
[18:28:28] ⚠ 49852 status 403
[18:28:28] ⚠ 4976 status 403
[18:28:28] ⚠ 1020755 status 403
[18:28:28] ⚠ 1059680 status 403
[18:28:28] ⚠ 4124 status 403
[18:28:28] ⚠ 1056846 status 403
[18:28:28] ⚠ 1021629 status 403
[18:28:28] ⚠ 1068242 status 403
[18:28:28] ⚠ 9169 status 403
[18:28:28] ⚠ 1036955 status 403
[18:28:28] ⚠ 1025576 status 403
[18:28:28] ⚠ 9041 status 403
[18:28:28] ⚠ 1088219 status 403
[18:28:28] ⚠ 24880 status 403
[18:28:28] ⚠ 39874 status 403
[18:28:28] ⚠ 4038 status 403
[18:28:28] ⚠ 9292 status 403
[18:28:28] ⚠ 1039864 status 403
[18:28:28] ⚠ 9504 status 403
[18:28:28] ⚠ 9100 status 403
[18:28:28] ⚠ 1054742 status 403
[18:28:28] ⚠ 24246 status 403
[18:28:28] ⚠ 10255 status 403
[18:28:28] ⚠ 9368 status 403
[18:28:28] ⚠ 15526 status 403
[18:28:28] ⚠ 4890 status 403
[18:28:28] ⚠ 1004635 status 403
[18:28:29] ⚠ 1082851 status 403
[18:28:29] ⚠ 1036114 status 403
[18:28:29] ⚠ 1013355 status 403
[18:28:29] ⚠ 31788 status 403
[18:28:29] ⚠ 1053536 status 403
[18:28:29] ⚠ 10270 status 403
[18:28:29] ⚠ 7504 status 403
[18:28:29] ⚠ 1028879 status 403
[18:28:29] ⚠ 1012136 status 403
[18:28:29] ⚠ 24981 status 403
[18:28:29] ⚠ 1004634 status 403
[18:28:29] ⚠ 56144 status 403
[18:28:29] ⚠ 1053155 status 403
[18:28:29] ⚠ 1011192 status 403
[18:28:29] ⚠ 7511 status 403
[18:28:29] ⚠ 1003803 status 403
[18:28:29] ⚠ 4174 status 403
[18:28:29] ✅ Fetched 120 venues with shows
[18:28:29] ✅ DONE | Shows=618 | Movies=29
